category_path,qbo_category_path,localParentRef,localAssetAccRef,prodParentRef,prodAssetAccRef
category/accessories,Accessories,29011,73,8,116
category/beauty/makeup,Beauty:Makeup,29013,74,10,169
category/beauty/nails,Beauty:Nails,29014,74,11,169
category/beauty/skincare,Beauty:Skincare,29015,74,12,169
category/beauty/tools-brushes,Beauty:Tools-brushes,29016,74,13,169
category/beauty/value-sets,Beauty:Value-sets,29017,74,14,169
category/clothing,Clothing,29018,75,15,170
category/home,Home,29019,77,16,124
category/kids,Kids,29020,77,17,124
category/lingerie,Lingerie,29021,76,18,121
category/lingerie/bras,Lingerie:Bras,29022,76,19,121
category/lingerie/loungewear,Lingerie:Lounge-wear,29023,76,20,121
category/lingerie/panties,Lingerie:Panties,29024,76,21,121
category/lingerie/shapewear,Lingerie:Shapewear,29025,76,22,121
category/lingerie/sleepwear,Lingerie:Sleepwear,29026,76,23,121
category/men,Men,29035,77,25,124
category/men/shoes,Men:Shoes,29036,77,26,124
category/shoes,Shoes,29037,77,27,124
category/sports,Sports,29038,77,28,124
